id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2539;Clean & quiet apt home by the park;2787;John;Brooklyn;Kensington;40.64749;-73.97237;Private room;149;1;9;10/19/2018;0.21;6;365
2595;Skylit Midtown Castle;2845;Jennifer;Manhattan;Midtown;40.75362;-73.98377;Entire home/apt;225;1;45;05/21/2019;0.38;2;355
3647;THE VILLAGE OF HARLEM....NEW YORK !;4632;Elisabeth;Manhattan;Harlem;40.80902;-73.9419;Private room;150;3;0;;;1;365
3831;Cozy Entire Floor of Brownstone;4869;LisaRoxanne;Brooklyn;Clinton Hill;40.68514;-73.95976;Entire home/apt;89;1;270;07/05/2019;4.64;1;194
5022;Entire Apt: Spacious Studio/Loft by central park;7192;Laura;Manhattan;East Harlem;40.79851;-73.94399;Entire home/apt;80;10;9;11/19/2018;0.1;1;0
5099;Large Cozy 1 BR Apartment In Midtown East;7322;Chris;Manhattan;Murray Hill;40.74767;-73.975;Entire home/apt;200;3;74;06/22/2019;0.59;1;129
5121;BlissArtsSpace!;7356;Garon;Brooklyn;Bedford-Stuyvesant;40.68688;-73.95596;Private room;60;45;49;10/05/2017;0.4;1;0
5178;Large Furnished Room Near B'way ;8967;Shunichi;Manhattan;Hell's Kitchen;40.76489;-73.98493;Private room;79;2;430;06/24/2019;3.47;1;220
5203;Cozy Clean Guest Room - Family Apt;7490;MaryEllen;Manhattan;Upper West Side;40.80178;-73.96723;Private room;79;2;118;07/21/2017;0.99;1;0
5238;Cute & Cozy Lower East Side 1 bdrm;7549;Ben;Manhattan;Chinatown;40.71344;-73.99037;Entire home/apt;150;1;160;06/09/2019;1.33;4;188
5295;Beautiful 1br on Upper West Side;7702;Lena;Manhattan;Upper West Side;40.80316;-73.96545;Entire home/apt;135;5;53;06/22/2019;0.43;1;6
5441;Central Manhattan/near Broadway;7989;Kate;Manhattan;Hell's Kitchen;40.76076;-73.98867;Private room;85;2;188;06/23/2019;1.5;1;39
5803;Lovely Room 1, Garden, Best Area, Legal rental;9744;Laurie;Brooklyn;South Slope;40.66829;-73.98779;Private room;89;4;167;06/24/2019;1.34;3;314
6021;Wonderful Guest Bedroom in Manhattan for SINGLES;11528;Claudio;Manhattan;Upper West Side;40.79826;-73.96113;Private room;85;2;113;07/05/2019;0.91;1;333
6090;West Village Nest - Superhost;11975;Alina;Manhattan;West Village;40.7353;-74.00525;Entire home/apt;120;90;27;10/31/2018;0.22;1;0
6848;Only 2 stops to Manhattan studio;15991;Allen & Irina;Brooklyn;Williamsburg;40.70837;-73.95352;Entire home/apt;140;2;148;06/29/2019;1.2;1;46
7097;Perfect for Your Parents + Garden;17571;Jane;Brooklyn;Fort Greene;40.69169;-73.97185;Entire home/apt;215;2;198;06/28/2019;1.72;1;321
