name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
AAGAARD Mikkel,AAGAARD M,Male,1995-10-18,FREDERIKSHAVN,Denmark,Denmark,DEN,Ice Hockey,IHO,ORNSKOLDSVIK,Sweden,1.84/6'0'',../../../en/results/ice-hockey/athlete-profile-n1168148-mikkel-aagaard.htm
AALTO Antti,AALTO A,Male,1995-04-02,KITEE,Finland,Finland,FIN,Ski Jumping,SJP,KUOPIO,Finland,,../../../en/results/ski-jumping/athlete-profile-n1005520-antti-aalto.htm
AALTONEN Miro,AALTONEN M,Male,1993-06-07,JOENSUU,Finland,Finland,FIN,Ice Hockey,IHO,PODOLSK,Russian Federation,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1025177-miro-aaltonen.htm
ABDELKADER Justin,ABDELKADER J,Male,1987-02-25,"MUSKEGON, MI",United States of America,United States of America,USA,Ice Hockey,IHO,"GRAND RAPIDS, MI",United States of America,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1192599-justin-abdelkader.htm
ABDI Fayik,ABDI F,Male,1997-10-07,"SAN DIEGO, CA",United States of America,Saudi Arabia,KSA,Alpine Skiing,ALP,DHAHRAN,Saudi Arabia,,../../../en/results/alpine-skiing/athlete-profile-n1051423-fayik-abdi.htm
ABDUL-SABOOR Hakeem,ABDUL-SABOOR H,Male,1987-11-07,"EAST ORANGE, NJ",United States of America,United States of America,USA,Bobsleigh,BOB,"POWHATAN, VA",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041502-hakeem-abdul-saboor.htm
ABEDA Shannon,ABEDA S,Male,1996-05-15,"FORT MCMURRAY, AB",Canada,Eritrea,ERI,Alpine Skiing,ALP,"LETHBRIDGE, AB",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1052177-shannon-abeda.htm
ABELTSHAUSER Konrad,ABELTSHAUSER K,Male,1992-09-02,BAD TOLZ,Germany,Germany,GER,Ice Hockey,IHO,MUNICH,Germany,1.95/6'4'',../../../en/results/ice-hockey/athlete-profile-n1095706-konrad-abeltshauser.htm
ABOLS Rodrigo,ABOLS R,Male,1996-01-05,RIGA,Latvia,Latvia,LAT,Ice Hockey,IHO,OREBRO,Sweden,1.93/6'3'',../../../en/results/ice-hockey/athlete-profile-n1037253-rodrigo-abols.htm
ABRAMENKO Oleksandr,ABRAMENKO O,Male,1988-05-04,PERVOMAISKY,Ukraine,Ukraine,UKR,Freestyle Skiing,FRS,KIEV,Ukraine,,../../../en/results/freestyle-skiing/athlete-profile-n1042098-oleksandr-abramenko.htm
ABRUZZESE Nick,ABRUZZESE N,Male,1999-06-04,"SLATE HILL, NY",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.78/5'10'',../../../en/results/ice-hockey/athlete-profile-n1182014-nick-abruzzese.htm
ACHTEREEKTE Carlijn,ACHTEREEKTE C,Female,1990-01-29,LETTELE,Netherlands,Netherlands,NED,Speed Skating,SSK,HEERENVEEN,Netherlands,1.74/5'8'',../../../en/results/speed-skating/athlete-profile-n1055931-carlijn-achtereekte.htm
ADAKE Ahenaer,ADAKE A,Female,1999-06-01,XINJIANG,People's Republic of China,People's Republic of China,CHN,Speed Skating,SSK,,People's Republic of China,1.65/5'4'',../../../en/results/speed-skating/athlete-profile-n1058380-ahenaer-adake.htm
ADELISSE Antoine,ADELISSE A,Male,1996-06-10,NANTES,France,France,FRA,Freestyle Skiing,FRS,AIME-LA-PLAGNE,France,,../../../en/results/freestyle-skiing/athlete-profile-n1035826-antoine-adelisse.htm
ADOLFSSON Jessica,ADOLFSSON J,Female,1998-07-15,LINKOEPING,Sweden,Sweden,SWE,Ice Hockey,IHO,LINKOEPING,Sweden,1.76/5'9'',../../../en/results/ice-hockey/athlete-profile-n1041974-jessica-adolfsson.htm
AERNI Luca,AERNI L,Male,1993-03-27,CHATEL SAINT DENIS,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,MOLLENS,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1048257-luca-aerni.htm
AERTS Sara,AERTS S,Female,1984-01-25,TURNHOUT,Belgium,Belgium,BEL,Bobsleigh,BOB,ANTWERP,Belgium,,../../../en/results/bobsleigh/athlete-profile-n1045273-sara-aerts.htm
AESCHLIMANN Sandro,AESCHLIMANN S,Male,1994-12-26,ZAZIWIL,Switzerland,Switzerland,SUI,Ice Hockey,IHO,DAVOS,Switzerland,1.84/6'0'',../../../en/results/ice-hockey/athlete-profile-n1166960-sandro-aeschlimann.htm
AGOSTINO Kenny,AGOSTINO K,Male,1992-04-30,"MORRISTOWN, NJ",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1182000-kenny-agostino.htm
AHMADI Atefeh,AHMADI A,Female,2000-12-23,,,Islamic Republic of Iran,IRI,Alpine Skiing,ALP,,,,../../../en/results/alpine-skiing/athlete-profile-n1001848-atefeh-ahmadi.htm
AICHER Emma,AICHER E,Female,2003-11-13,SUNDSVALL,Sweden,Germany,GER,Alpine Skiing,ALP,BERCHTESGADEN,Germany,,../../../en/results/alpine-skiing/athlete-profile-n1012881-emma-aicher.htm
AIDOVA Yekaterina,AIDOVA Y,Female,1991-07-30,KARAGANDY,Kazakhstan,Kazakhstan,KAZ,Speed Skating,SSK,KARAGANDY,Kazakhstan,1.70/5'6'',../../../en/results/speed-skating/athlete-profile-n1048162-yekaterina-aidova.htm
AIGRO Artti,AIGRO A,Male,1999-08-29,OTEPAEAE,Estonia,Estonia,EST,Ski Jumping,SJP,OTEPAEAE,Estonia,,../../../en/results/ski-jumping/athlete-profile-n1034310-artti-aigro.htm
AIRAPETIAN Denis,AIRAPETIAN D,Male,1997-01-17,PENZA,Russian Federation,ROC,ROC,Short Track Speed Skating,STK,MOSCOW,Russian Federation,,../../../en/results/short-track-speed-skating/athlete-profile-n1037936-denis-airapetian.htm
AKAR Furkan,AKAR F,Male,2002-03-06,ERZURUM,Turkey,Turkey,TUR,Short Track Speed Skating,STK,ERZURUM,Turkey,,../../../en/results/short-track-speed-skating/athlete-profile-n1000798-furkan-akar.htm
AKER Agnes,AKER A,Female,1997-07-22,SODERHAMN,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1042036-agnes-aker.htm
