name,gender,birth_date,country,discipline,function,event,url
BARES Jakub,Male,1988-03-20,Czech Republic,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1034345-jakub-bares.htm
BEIGHTON Sean,Male,1988-11-22,United States of America,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1034659-sean-beighton.htm
BEIGHTON Sean,Male,1988-11-22,United States of America,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1034659-sean-beighton.htm
BELANOV Sergei,Male,1961-08-04,ROC,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1036559-sergei-belanov.htm
BOBARIKO Yevgeni,Male,1974-02-03,ROC,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1056301-yevgeni-bobariko.htm
CARDONE Andrea,Male,1979-05-31,Italy,Curling,Coach,,../../../en/results/curling/athlete-profile-n1085536-andrea-cardone.htm
CARLSON Jesper,Male,1983-06-19,Denmark,Curling,Coach,,../../../en/results/curling/athlete-profile-n1032258-jesper-carlson.htm
CARLSON Jesper,Male,1983-06-19,Denmark,Ice Hockey,Head Coach,,../../../en/results/ice-hockey/athlete-profile-n1032258-jesper-carlson.htm
CHARETTE Pierre,Male,1955-06-23,Switzerland,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1050602-pierre-charette.htm
DRUMMOND Greg,Male,1989-02-03,Great Britain,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1044168-greg-drummond.htm
EHLERS Heinz,Male,1966-01-25,Denmark,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1032245-heinz-ehlers.htm
ELANDER Peter,Male,1960-03-01,Denmark,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1032259-peter-elander.htm
ENGDAHL Thomas,Male,1964-07-25,Sweden,Curling,Coach,,../../../en/results/curling/athlete-profile-n1054553-thomas-engdahl.htm
FISCHER Patrick,Male,1975-09-06,Switzerland,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1050631-patrick-fischer.htm
GALLANT Peter,Male,1958-12-20,Republic of Korea,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1037774-peter-gallant.htm
GARPENLOV Johan,Male,1968-03-21,Sweden,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1048227-johan-garpenlov.htm
GJELSVIK Roger,Male,1968-09-21,Norway,Curling,Coach,,../../../en/results/curling/athlete-profile-n1042133-roger-gjelsvik.htm
GRAN Soeren,Male,1962-12-26,People's Republic of China,Curling,Coach,,../../../en/results/curling/athlete-profile-n1059199-soeren-gran.htm
HACKNER Allan,Male,1954-07-18,Canada,Curling,Coach,,../../../en/results/curling/athlete-profile-n1137165-allan-hackner.htm
HANNAH Alan,Male,1971-11-25,Great Britain,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1044169-alan-hannah.htm
HARTMANN Peter,Male,1980-03-16,Switzerland,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1050650-peter-hartmann.htm
HERTSDAHL Kenneth,Male,1973-04-04,Denmark,Ice Hockey,Head Coach,,../../../en/results/ice-hockey/athlete-profile-n1013781-kenneth-hertsdahl.htm
IDALSKI Brian,Male,1971-01-23,People's Republic of China,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1057948-brian-idalski.htm
IIZUKA Yuji,Male,1974-05-17,Japan,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1042454-yuji-iizuka.htm
ISKIW Beth,Female,1979-04-20,Canada,Curling,Coach,,../../../en/results/curling/athlete-profile-n1078572-beth-iskiw.htm
JALONEN Jukka,Male,1962-11-02,Finland,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1025233-jukka-jalonen.htm
JOHNSON Joel,Male,1974-07-20,United States of America,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1037571-joel-johnson.htm
