location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 1,Sweden,5,Great Britain,9,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000101-.htm,CUR,SWE,GBR,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 1,Australia,5,United States of America,6,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000102-.htm,CUR,AUS,USA,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 1,Norway,6,Czech Republic,7,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000103-.htm,CUR,NOR,CZE,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 1,People's Republic of China,7,Switzerland,6,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000104-.htm,CUR,CHN,SUI,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 2,Australia,5,People's Republic of China,6,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000201-.htm,CUR,AUS,CHN,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 2,Sweden,7,Czech Republic,4,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000202-.htm,CUR,SWE,CZE,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 2,United States of America,4,Italy,8,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000203-.htm,CUR,USA,ITA,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 2,Great Britain,6,Canada,4,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000204-.htm,CUR,GBR,CAN,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 3,Italy,8,Switzerland,7,Finished,2022-02-03T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000301-.htm,CUR,ITA,SUI,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 3,United States of America,6,Norway,11,Finished,2022-02-03T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000302-.htm,CUR,USA,NOR,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 4,Norway,6,Canada,7,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000401-.htm,CUR,NOR,CAN,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 4,Switzerland,8,Great Britain,7,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000402-.htm,CUR,SUI,GBR,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 4,People's Republic of China,6,Sweden,7,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000403-.htm,CUR,CHN,SWE,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 4,Czech Republic,8,Australia,2,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000404-.htm,CUR,CZE,AUS,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 5,Sweden,7,Australia,6,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000502-.htm,CUR,SWE,AUS,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 5,Canada,7,Switzerland,5,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000503-.htm,CUR,CAN,SUI,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 5,Italy,11,Norway,8,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000504-.htm,CUR,ITA,NOR,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 6,Czech Republic,2,Italy,10,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000601-.htm,CUR,CZE,ITA,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 6,People's Republic of China,6,Canada,8,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000602-.htm,CUR,CHN,CAN,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 6,Great Britain,9,Australia,8,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000603-.htm,CUR,GBR,AUS,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 6,Sweden,7,United States of America,8,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000604-.htm,CUR,SWE,USA,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 7,Australia,4,Norway,10,Finished,2022-02-05T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000703-.htm,CUR,AUS,NOR,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 7,Switzerland,1,Sweden,6,Finished,2022-02-05T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000704-.htm,CUR,SUI,SWE,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 8,People's Republic of China,5,United States of America,7,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000801-.htm,CUR,CHN,USA,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 8,Czech Republic,3,Great Britain,8,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000802-.htm,CUR,CZE,GBR,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 8,Sweden,6,Canada,2,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000803-.htm,CUR,SWE,CAN,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 8,Australia,3,Italy,7,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000804-.htm,CUR,AUS,ITA,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 9,Great Britain,5,Italy,7,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000901-.htm,CUR,GBR,ITA,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 9,Norway,9,People's Republic of China,6,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000902-.htm,CUR,NOR,CHN,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 9,Czech Republic,3,Switzerland,11,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000903-.htm,CUR,CZE,SUI,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 9,United States of America,2,Canada,7,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000904-.htm,CUR,USA,CAN,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 10,United States of America,8,Czech Republic,10,Finished,2022-02-06T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001001-.htm,CUR,USA,CZE,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 10,Great Britain,6,People's Republic of China,5,Finished,2022-02-06T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001002-.htm,CUR,GBR,CHN,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 11,Norway,6,Sweden,2,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001101-.htm,CUR,NOR,SWE,Mixed
