location,event_stage,event_status,time,event_url,discipline_code,discipline
Yanqing National Alpine Skiing Centre - Speed,Men's Downhill 1st Training,Finished,2022-02-03T11:00:00+08:00,../../../en/results/alpine-skiing/results-men-s-downhill-trno-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Men's Downhill 2nd Training,Finished,2022-02-04T12:00:00+08:00,../../../en/results/alpine-skiing/results-men-s-downhill-trno-000200-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Women's Giant Slalom Run 1,Finished,2022-02-07T09:30:00+08:00,../../../en/results/alpine-skiing/results-women-s-giant-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Men's Downhill,Finished,2022-02-07T12:00:00+08:00,../../../en/results/alpine-skiing/results-men-s-downhill-fnl-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Women's Giant Slalom Run 2,Finished,2022-02-07T14:45:00+08:00,../../../en/results/alpine-skiing/results-women-s-giant-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Men's Super-G,Finished,2022-02-08T11:00:00+08:00,../../../en/results/alpine-skiing/results-men-s-super-g-fnl-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Women's Slalom Run 1,Finished,2022-02-09T10:15:00+08:00,../../../en/results/alpine-skiing/results-women-s-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Men's Alpine Combined Downhill 1st Training,Finished,2022-02-09T10:30:00+08:00,../../../en/results/alpine-skiing/results-men-s-alpine-combined-trno-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Women's Slalom Run 2,Finished,2022-02-09T13:45:00+08:00,../../../en/results/alpine-skiing/results-women-s-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Men's Alpine Combined Downhill,Finished,2022-02-10T10:30:00+08:00,../../../en/results/alpine-skiing/results-men-s-alpine-combined-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Men's Alpine Combined Slalom,Finished,2022-02-10T14:15:00+08:00,../../../en/results/alpine-skiing/results-men-s-alpine-combined-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Super-G,Finished,2022-02-11T11:00:00+08:00,../../../en/results/alpine-skiing/results-women-s-super-g-fnl-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Downhill 1st Training,Finished,2022-02-12T11:00:00+08:00,../../../en/results/alpine-skiing/results-women-s-downhill-trno-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Men's Giant Slalom Run 1,Finished,2022-02-13T10:15:00+08:00,../../../en/results/alpine-skiing/results-men-s-giant-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Men's Giant Slalom Run 2,Finished,2022-02-13T15:00:00+08:00,../../../en/results/alpine-skiing/results-men-s-giant-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Downhill 3rd Training,Finished,2022-02-14T13:00:00+08:00,../../../en/results/alpine-skiing/results-women-s-downhill-trno-000300-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Downhill,Finished,2022-02-15T11:30:00+08:00,../../../en/results/alpine-skiing/results-women-s-downhill-fnl-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Men's Slalom Run 1,Finished,2022-02-16T10:15:00+08:00,../../../en/results/alpine-skiing/results-men-s-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Alpine Combined Downhill 1st Training,Finished,2022-02-16T12:00:00+08:00,../../../en/results/alpine-skiing/results-women-s-alpine-combined-trno-000100-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Men's Slalom Run 2,Finished,2022-02-16T13:45:00+08:00,../../../en/results/alpine-skiing/results-men-s-slalom-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Speed,Women's Alpine Combined Downhill,Finished,2022-02-17T10:30:00+08:00,../../../en/results/alpine-skiing/results-women-s-alpine-combined-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Women's Alpine Combined Slalom,Finished,2022-02-17T14:00:00+08:00,../../../en/results/alpine-skiing/results-women-s-alpine-combined-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Mixed Team Parallel 1/8 Finals,Finished,2022-02-20T09:00:00+08:00,../../../en/results/alpine-skiing/results-mixed-team-parallel-8fnl.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Mixed Team Parallel 1/4 Finals,Finished,2022-02-20T09:40:00+08:00,../../../en/results/alpine-skiing/results-mixed-team-parallel-qfnl.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Mixed Team Parallel 1/2 Finals,Finished,2022-02-20T10:09:00+08:00,../../../en/results/alpine-skiing/results-mixed-team-parallel-sfnl.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Mixed Team Parallel Small Final,Finished,2022-02-20T10:28:00+08:00,../../../en/results/alpine-skiing/results-mixed-team-parallel-fnl-.htm,ALP,Alpine Skiing
Yanqing National Alpine Skiing Centre - Technical,Mixed Team Parallel Big Final,Finished,2022-02-20T10:37:00+08:00,../../../en/results/alpine-skiing/results-mixed-team-parallel-fnl-.htm,ALP,Alpine Skiing
Zhangjiakou National Biathlon Centre,Mixed Relay 4x6km (W+M),Finished,2022-02-05T17:00:00+08:00,../../../en/results/biathlon/results-mixed-relay-4x6km-w-plus-m-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Women's 15km Individual,Finished,2022-02-07T17:00:00+08:00,../../../en/results/biathlon/results-women-s-15km-individual-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Men's 20km Individual,Finished,2022-02-08T16:30:00+08:00,../../../en/results/biathlon/results-men-s-20km-individual-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Women's 7.5km Sprint,Finished,2022-02-11T17:00:00+08:00,../../../en/results/biathlon/results-women-s-7-5km-sprint-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Men's 10km Sprint,Finished,2022-02-12T17:00:00+08:00,../../../en/results/biathlon/results-men-s-10km-sprint-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Women's 10km Pursuit,Finished,2022-02-13T17:00:00+08:00,../../../en/results/biathlon/results-women-s-10km-pursuit-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Men's 12.5km Pursuit,Finished,2022-02-13T18:45:00+08:00,../../../en/results/biathlon/results-men-s-12-5km-pursuit-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Men's 4x7.5km Relay,Finished,2022-02-15T14:30:00+08:00,../../../en/results/biathlon/results-men-s-4x7-5km-relay-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Women's 4x6km Relay,Finished,2022-02-16T15:45:00+08:00,../../../en/results/biathlon/results-women-s-4x6km-relay-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Women's 12.5km Mass Start,Finished,2022-02-18T15:00:00+08:00,../../../en/results/biathlon/results-women-s-12-5km-mass-start-fnl-000100-.htm,BTH,Biathlon
Zhangjiakou National Biathlon Centre,Men's 15km Mass Start,Finished,2022-02-18T17:00:00+08:00,../../../en/results/biathlon/results-men-s-15km-mass-start-fnl-000100-.htm,BTH,Biathlon
Yanqing National Sliding Centre,2-man Official Training Heat 1,Finished,2022-02-10T14:55:00+08:00,../../../en/results/bobsleigh/results-2-man-trno-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Official Training Heat 2,Finished,,../../../en/results/bobsleigh/results-2-man-trno-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 1,Finished,2022-02-10T17:55:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-trno-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 2,Finished,,../../../en/results/bobsleigh/results-women-s-monobob-trno-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Official Training Heat 3,Finished,2022-02-11T14:10:00+08:00,../../../en/results/bobsleigh/results-2-man-trno-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Official Training Heat 4,Finished,,../../../en/results/bobsleigh/results-2-man-trno-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 3,Finished,2022-02-11T17:10:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-trno-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 4,Finished,,../../../en/results/bobsleigh/results-women-s-monobob-trno-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 5,Finished,2022-02-12T10:10:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-trno-000500-.htm,BOB,Bobsleigh
