No.,Name,Position,G,A,P,PIM,TS,+/-,TOT,SHF,AVG,Sh_Period_1,Time_On_Ice_Period_1,Sh_Period_2,Time_On_Ice_Period_2,Sh_Period_3,Time_On_Ice_Period_3,url_game,team,Sh_OverTime,Time_On_Ice_OverTime
1,SVEJDOVA VSVEJDOVA Viktorie,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
29,PESLAROVA KPESLAROVA Klara,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
4,PEJSOVA DPEJSOVA Daniela,D,0.0,0.0,0.0,0.0,2.0,0.0,20:12,28.0,0:43,0.0,7:14,2.0,7:27,0.0,5:31,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
14,LASKOVA DLASKOVA Dominika,D,0.0,0.0,0.0,0.0,2.0,1.0,22:12,32.0,0:41,0.0,8:13,1.0,7:03,1.0,6:56,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
16,MRAZOVA KMRAZOVA Katerina,F,0.0,0.0,0.0,0.0,3.0,1.0,17:55,22.0,0:48,0.0,4:06,1.0,6:54,2.0,6:55,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
19,MLYNKOVA NMLYNKOVA Natalie,F,0.0,0.0,0.0,0.0,1.0,1.0,17:52,24.0,0:44,0.0,5:05,0.0,5:38,1.0,7:09,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
21,VANISOVA TVANISOVA Tereza,F,0.0,1.0,1.0,0.0,0.0,1.0,19:06,27.0,0:42,0.0,6:30,0.0,6:22,0.0,6:14,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
5,KOLOWRATOVA SAKOLOWRATOVA Samantha Ahn,D,0.0,0.0,0.0,0.0,0.0,1.0,13:15,20.0,0:39,0.0,4:26,0.0,5:00,0.0,3:49,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
10,KRIZOVA DKRIZOVA Denisa,F,1.0,0.0,1.0,0.0,3.0,2.0,13:16,21.0,0:37,2.0,5:06,1.0,5:12,0.0,2:58,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
18,PEJZLOVA MPEJZLOVA Michaela,F,1.0,0.0,1.0,2.0,2.0,2.0,14:50,25.0,0:35,0.0,5:43,1.0,5:44,1.0,3:23,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
24,CAJANOVA SCAJANOVA Sara,D,0.0,1.0,1.0,0.0,2.0,1.0,14:00,21.0,0:40,1.0,4:42,0.0,7:03,1.0,2:15,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
28,NEUBAUEROVA NNEUBAUEROVA Noemi,F,0.0,1.0,1.0,0.0,0.0,1.0,13:43,19.0,0:43,0.0,5:10,0.0,5:28,0.0,3:05,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
2,TEJRALOVA ATEJRALOVA Aneta,D,0.0,1.0,1.0,0.0,3.0,1.0,18:38,30.0,0:37,0.0,5:49,1.0,5:20,2.0,7:29,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
9,MILLS AMILLS Alena,F,0.0,0.0,0.0,0.0,2.0,0.0,17:01,26.0,0:39,0.0,3:57,2.0,5:39,0.0,7:25,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
12,HYMLAROVA KHYMLAROVA Klara,F,0.0,0.0,0.0,0.0,6.0,0.0,16:48,26.0,0:38,2.0,4:45,2.0,5:18,2.0,6:45,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
17,HORALKOVA PHORALKOVA Pavlina,D,0.0,1.0,1.0,2.0,1.0,1.0,18:21,25.0,0:44,0.0,5:39,0.0,4:45,1.0,7:57,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
26,PRIBYLOVA VPRIBYLOVA Vendula,F,0.0,0.0,0.0,0.0,5.0,0.0,14:19,23.0,0:37,1.0,3:27,1.0,4:41,3.0,6:11,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
7,SERDAR LSERDAR Lenka,F,0.0,0.0,0.0,0.0,2.0,0.0,10:52,14.0,0:46,2.0,4:13,0.0,2:54,0.0,3:45,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
15,LEDLOVA ALEDLOVA Aneta,F,0.0,0.0,0.0,0.0,0.0,1.0,9:15,11.0,0:50,0.0,2:46,0.0,2:18,0.0,4:11,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
23,BUKOLSKA KBUKOLSKA Katerina,F,0.0,0.0,0.0,0.0,0.0,0.0,12:13,16.0,0:45,0.0,5:09,0.0,2:54,0.0,4:10,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
25,PATKOVA KPATKOVA Kristyna,F,0.0,0.0,0.0,0.0,0.0,0.0,1:35,2.0,0:47,0.0,1:35,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
27,RADOVA TRADOVA Tereza,D,1.0,0.0,1.0,0.0,2.0,1.0,10:37,14.0,0:45,2.0,3:44,0.0,3:14,0.0,3:39,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
