location,event_stage,#event,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
Wukesong Sports Centre,Women's Preliminary Round - Group B,#1,Czech Republic,3,China,1,Finished,2022-02-03T12:10:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,IHO,CZE,CHN,Women
National Indoor Stadium,Women's Preliminary Round - Group A,#2,Canada,12,Switzerland,1,Finished,2022-02-03T12:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,IHO,CAN,SUI,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#3,Sweden,1,Japan,3,Finished,2022-02-03T16:40:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,IHO,SWE,JPN,Women
Wukesong Sports Centre,Women's Preliminary Round - Group A,#4,Finland,2,United States,5,Finished,2022-02-03T21:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000200-.htm,IHO,FIN,USA,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#5,Denmark,1,China,3,Finished,2022-02-04T12:10:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000300-.htm,IHO,DEN,CHN,Women
National Indoor Stadium,Women's Preliminary Round - Group A,#6,ROC,5,Switzerland,2,Finished,2022-02-04T12:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000300-.htm,IHO,ROC,SUI,Women
Wukesong Sports Centre,Women's Preliminary Round - Group A,#7,Canada,11,Finland,1,Finished,2022-02-05T12:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000400-.htm,IHO,CAN,FIN,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#8,Japan,6,Denmark,2,Finished,2022-02-05T16:40:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000400-.htm,IHO,JPN,DEN,Women
National Indoor Stadium,Women's Preliminary Round - Group B,#9,Czech Republic,3,Sweden,1,Finished,2022-02-05T16:40:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000500-.htm,IHO,CZE,SWE,Women
Wukesong Sports Centre,Women's Preliminary Round - Group A,#10,United States,5,ROC,0,Finished,2022-02-05T21:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000500-.htm,IHO,USA,ROC,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#11,China,2,Japan,1,Finished,2022-02-06T16:40:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000600-.htm,IHO,CHN,JPN,Women
Wukesong Sports Centre,Women's Preliminary Round - Group A,#12,Switzerland,0,United States,8,Finished,2022-02-06T21:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000600-.htm,IHO,SUI,USA,Women
Wukesong Sports Centre,Women's Preliminary Round - Group A,#13,ROC,1,Canada,6,Finished,2022-02-07T13:15:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000700-.htm,IHO,ROC,CAN,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#14,Denmark,3,Czech Republic,2,Finished,2022-02-07T16:40:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000700-.htm,IHO,DEN,CZE,Women
Wukesong Sports Centre,Women's Preliminary Round - Group B,#15,China,1,Sweden,2,Finished,2022-02-07T21:10:00+08:00,../../../en/results/ice-hockey/results-women-gpb-000800-.htm,IHO,CHN,SWE,Women
National Indoor Stadium,Women's Preliminary Round - Group A,#16,Switzerland,3,Finland,2,Finished,2022-02-07T21:10:00+08:00,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,IHO,SUI,FIN,Women
